# logical_id	group	plural	kind	scope	api_version	scenario	crd_url
clusterqueue	kueue.x-k8s.io	clusterqueues	ClusterQueue	Cluster	v1beta2	all	https://raw.githubusercontent.com/kubernetes-sigs/kueue/v0.19.2/config/components/crd/bases/kueue.x-k8s.io_clusterqueues.yaml
localqueue	kueue.x-k8s.io	localqueues	LocalQueue	Namespaced	v1beta2	all	https://raw.githubusercontent.com/kubernetes-sigs/kueue/v0.19.2/config/components/crd/bases/kueue.x-k8s.io_localqueues.yaml
workload	kueue.x-k8s.io	workloads	Workload	Namespaced	v1beta2	all	https://raw.githubusercontent.com/kubernetes-sigs/kueue/v0.19.2/config/components/crd/bases/kueue.x-k8s.io_workloads.yaml
resourceflavor	kueue.x-k8s.io	resourceflavors	ResourceFlavor	Cluster	v1beta2	all	https://raw.githubusercontent.com/kubernetes-sigs/kueue/v0.19.2/config/components/crd/bases/kueue.x-k8s.io_resourceflavors.yaml
admissioncheck	kueue.x-k8s.io	admissionchecks	AdmissionCheck	Cluster	v1beta2	all	https://raw.githubusercontent.com/kubernetes-sigs/kueue/v0.19.2/config/components/crd/bases/kueue.x-k8s.io_admissionchecks.yaml
provisioningrequest	autoscaling.x-k8s.io	provisioningrequests	ProvisioningRequest	Namespaced	v1	all	https://raw.githubusercontent.com/kubernetes/autoscaler/cluster-autoscaler-1.34.5/cluster-autoscaler/apis/config/crd/autoscaling.x-k8s.io_provisioningrequests.yaml
raycluster	ray.io	rayclusters	RayCluster	Namespaced	v1	all	https://raw.githubusercontent.com/ray-project/kuberay/v1.7.0/ray-operator/config/crd/bases/ray.io_rayclusters.yaml
rayjob	ray.io	rayjobs	RayJob	Namespaced	v1	all	https://raw.githubusercontent.com/ray-project/kuberay/v1.7.0/ray-operator/config/crd/bases/ray.io_rayjobs.yaml
rayservice	ray.io	rayservices	RayService	Namespaced	v1	all	https://raw.githubusercontent.com/ray-project/kuberay/v1.7.0/ray-operator/config/crd/bases/ray.io_rayservices.yaml
raycronjob	ray.io	raycronjobs	RayCronJob	Namespaced	v1	all	https://raw.githubusercontent.com/ray-project/kuberay/v1.7.0/ray-operator/config/crd/bases/ray.io_raycronjobs.yaml
inferenceservice	serving.kserve.io	inferenceservices	InferenceService	Namespaced	v1beta1	all	https://raw.githubusercontent.com/kserve/kserve/v0.20.0/config/crd/full/serving.kserve.io_inferenceservices.yaml
servingruntime	serving.kserve.io	servingruntimes	ServingRuntime	Namespaced	v1alpha1	all	https://raw.githubusercontent.com/kserve/kserve/v0.20.0/config/crd/full/serving.kserve.io_servingruntimes.yaml
clusterservingruntime	serving.kserve.io	clusterservingruntimes	ClusterServingRuntime	Cluster	v1alpha1	all	https://raw.githubusercontent.com/kserve/kserve/v0.20.0/config/crd/full/serving.kserve.io_clusterservingruntimes.yaml
inferencegraph	serving.kserve.io	inferencegraphs	InferenceGraph	Namespaced	v1alpha1	all	https://raw.githubusercontent.com/kserve/kserve/v0.20.0/config/crd/full/serving.kserve.io_inferencegraphs.yaml
trainedmodel	serving.kserve.io	trainedmodels	TrainedModel	Namespaced	v1alpha1	all	https://raw.githubusercontent.com/kserve/kserve/v0.20.0/config/crd/full/serving.kserve.io_trainedmodels.yaml
llminferenceservice	serving.kserve.io	llminferenceservices	LLMInferenceService	Namespaced	v1alpha2	all	https://raw.githubusercontent.com/kserve/kserve/v0.20.0/config/crd/full/llmisvc/serving.kserve.io_llminferenceservices.yaml
inferencepool	inference.networking.k8s.io	inferencepools	InferencePool	Namespaced	v1	current	https://raw.githubusercontent.com/kubernetes-sigs/gateway-api-inference-extension/v1.6.0/config/crd/bases/inference.networking.k8s.io_inferencepools.yaml
inferenceobjective	llm-d.ai	inferenceobjectives	InferenceObjective	Namespaced	v1alpha2	current	https://raw.githubusercontent.com/llm-d/llm-d-router/v0.10.0/config/crd/bases/llm-d.ai_inferenceobjectives.yaml
inferencepool	inference.networking.x-k8s.io	inferencepools	InferencePool	Namespaced	v1alpha2	experimental	https://raw.githubusercontent.com/kubernetes-sigs/gateway-api-inference-extension/v0.5.1/config/crd/bases/inference.networking.x-k8s.io_inferencepools.yaml
inferenceobjective	inference.networking.x-k8s.io	inferenceobjectives	InferenceObjective	Namespaced	v1alpha2	experimental	https://raw.githubusercontent.com/Azure/kaito/v0.12.0/charts/kaito/workspace/crds/inference.networking.x-k8s.io_inferenceobjectives.yaml
leaderworkerset	leaderworkerset.x-k8s.io	leaderworkersets	LeaderWorkerSet	Namespaced	v1	all	https://raw.githubusercontent.com/kubernetes-sigs/lws/v0.10.0/config/crd/bases/leaderworkerset.x-k8s.io_leaderworkersets.yaml
jobset	jobset.x-k8s.io	jobsets	JobSet	Namespaced	v1alpha2	all	https://raw.githubusercontent.com/kubernetes-sigs/jobset/v0.12.0/config/components/crd/bases/jobset.x-k8s.io_jobsets.yaml
volcanojob	batch.volcano.sh	jobs	Job	Namespaced	v1alpha1	all	https://raw.githubusercontent.com/volcano-sh/volcano/v1.15.2/config/crd/volcano/bases/batch.volcano.sh_jobs.yaml
